keys,en,mi,es,de,ru,ja,ar,hi
Overwrite,Overwrite,Tuhituhi anō,Sobrescribir,Überschreiben,Перезаписать,上書き,استبدال,अधिलेखित करें
Pad,Pad,Pad,Pad,Pad,Pad,Pad,Pad,Pad
Pan,Pan,Pan,Paneo,Panorama,Панорама,パン,تحريك أفقي,पैन
Pan:,Pan:,Pan:,Paneo:,Panorama:,Панорама:,パン:,تحريك:,पैन:
"Pan: C, L/R, L50, R25, or −100…100","Pan: C, L/R, L50, R25, or −100…100","Pan: C, L/R, L50, R25, −100…100 rānei","Paneo: C, L/R, L50, R25 o −100…100","Panorama: C, L/R, L50, R25 oder −100…100","Панорама: C, L/R, L50, R25 или −100…100",パン: C、L/R、L50、R25、または −100…100,التحريك: C أو L/R أو L50 أو R25 أو −100…100,"पैन: C, L/R, L50, R25, या −100…100"
Panic,Panic,Ohorere,Pánico,Panik,Паника,パニック,ذعر,पैनिक
Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass
Paste,Paste,Whakapiri,Pegar,Einfügen,Вставить,貼り付け,لصق,पेस्ट
Patch sub-master volume (dB). Drag vertically to scrub. Applied to all cues using this patch.,Patch sub-master volume (dB). Drag vertically to scrub. Applied to all cues using this patch.,Patch sub-master volume (dB). Drag vertically to scrub. Applied to all cues using this patch.,Patch sub-master volume (dB). Drag vertically to scrub. Applied to all cues using this patch.,Patch sub-master volume (dB). Drag vertically to scrub. Applied to all cues using this patch.,Patch sub-master volume (dB). Drag vertically to scrub. Applied to all cues using this patch.,Patch sub-master volume (dB). Drag vertically to scrub. Applied to all cues using this patch.,Patch sub-master volume (dB). Drag vertically to scrub. Applied to all cues using this patch.,Patch sub-master volume (dB). Drag vertically to scrub. Applied to all cues using this patch.
Patch: {0},Patch: {0},Pātene: {0},Parche: {0},Patch: {0},Патч: {0},パッチ: {0},التصحيح: {0},पैच: {0}
Pause,Pause,Tatari,Pausa,Pause,Пауза,一時停止,إيقاف مؤقت,विराम
Pause All,Pause All,Tārewa katoa,Pausar todo,Alle anhalten,Пауза всех,すべて一時停止,إيقاف الكل مؤقتاً,सभी विराम
Pause all cues,Pause all cues,Tatari i ngā tohu katoa,Pausar todas las cues,Alle Cues anhalten,Приостановить все реплики,すべてのキューを一時停止,إيقاف كل الإشارات مؤقتاً,सभी क्यू विराम
Pause.,Pause.,Pause.,Pause.,Pause.,Pause.,Pause.,Pause.,Pause.
Peak clamp ceiling after mix (dBFS). Samples above this absolute level are limited. 0dB = full scale.,Peak clamp ceiling after mix (dBFS). Samples above this absolute level are limited. 0dB = full scale.,Peak clamp ceiling after mix (dBFS). Samples above this absolute level are limited. 0dB = full scale.,Peak clamp ceiling after mix (dBFS). Samples above this absolute level are limited. 0dB = full scale.,Peak clamp ceiling after mix (dBFS). Samples above this absolute level are limited. 0dB = full scale.,Peak clamp ceiling after mix (dBFS). Samples above this absolute level are limited. 0dB = full scale.,Peak clamp ceiling after mix (dBFS). Samples above this absolute level are limited. 0dB = full scale.,Peak clamp ceiling after mix (dBFS). Samples above this absolute level are limited. 0dB = full scale.,Peak clamp ceiling after mix (dBFS). Samples above this absolute level are limited. 0dB = full scale.
Performance,Performance,Mahinga,Rendimiento,Leistung,Производительность,パフォーマンス,الأداء,प्रदर्शन
Performance (show),Performance (show),Mahinga (whakaaturanga),Rendimiento (show),Leistung (Show),Производительность (шоу),パフォーマンス（ショー）,الأداء (العرض),प्रदर्शन (शो)
Pick cue…,Pick cue…,Kōwhiria he tohu…,Elegir cue…,Cue wählen…,Выберите реплику…,キューを選ぶ…,اختر إشارة…,क्यू चुनें…
Play count,Play count,Tatau purei,Recuento de reproducción,Wiedergabeanzahl,Число воспроизведений,再生回数,عدد التشغيل,प्ले गिनती
Play focused cue from the playhead,Play focused cue from the playhead,Pureia te tohu arotahi mai i te upoko purei,Reproducir la cue enfocada desde el cabezal,Fokussierten Cue vom Playhead abspielen,Играть сфокусированную реплику с курсора,フォーカス中のキューを再生ヘッドから再生,تشغيل الإشارة المركّزة من رأس التشغيل,फ़ोकस क्यू को प्लेहेड से चलाएँ
Playback,Playback,Purei,Reproducción,Wiedergabe,Воспроизведение,再生,التشغيل,प्लेबैक
Playcount:,Playcount:,Tatau purei:,Recuento:,Wiedergabeanzahl:,Число воспроизведений:,再生回数:,عدد التشغيل:,प्ले गिनती:
"Playhead time — click the ruler or empty track area to set. ←/→ nudge 0.1s, Shift+←/→ 1s","Playhead time — click the ruler or empty track area to set. ←/→ nudge 0.1s, Shift+←/→ 1s","Wā upoko purei — pāwhiritia te rūrī, te wāhi riu kau rānei. ←/→ 0.1h, Shift+←/→ 1h","Tiempo del cabezal — clic en la regla o pista vacía. ←/→ 0.1s, Mayús+←/→ 1s","Playhead-Zeit — Lineal oder leeren Spur-Bereich klicken. ←/→ 0,1s, Umschalt+←/→ 1s","Время курсора — щёлкните линейку или пустую дорожку. ←/→ 0.1 с, Shift+←/→ 1 с",再生ヘッド時刻 — ルーラーまたは空のトラックをクリック。←/→ 0.1秒、Shift+←/→ 1秒,وقت رأس التشغيل — انقر المسطرة أو منطقة المسار الفارغة. ←/→ 0.1ث، Shift+←/→ 1ث,"प्लेहेड समय — रूलर या खाली ट्रैक पर क्लिक करें। ←/→ 0.1से, Shift+←/→ 1से"
Please wait — a showfile is still loading.,Please wait — a showfile is still loading.,Taihoa — kei te uta tonu tētahi kōnae whakaaturanga.,Espere: todavía se está cargando un showfile.,Bitte warten — ein Showfile wird noch geladen.,Подождите — шоу-файл ещё загружается.,お待ちください — ショーファイル読込中です。,يرجى الانتظار — ما زال ملف العرض يُحمَّل.,प्रतीक्षा करें — शोफ़ाइल अभी लोड हो रही है।
Please wait — a showfile is still loading. Cannot redo.,Please wait — a showfile is still loading. Cannot redo.,Taihoa — kei te uta tonu tētahi kōnae whakaaturanga. Kāore e taea te mahi anō.,Espere: todavía se está cargando un showfile. No se puede rehacer.,Bitte warten — Showfile wird noch geladen. Wiederholen nicht möglich.,Подождите — шоу-файл ещё загружается. Повтор недоступен.,お待ちください — ショーファイル読込中。やり直せません。,يرجى الانتظار — ملف العرض ما زال يُحمَّل. لا يمكن الإعادة.,प्रतीक्षा करें — शोफ़ाइल लोड हो रही है। फिर नहीं कर सकते।
Please wait — a showfile is still loading. Cannot start a new session.,Please wait — a showfile is still loading. Cannot start a new session.,Taihoa — kei te uta tonu tētahi kōnae whakaaturanga. Kāore e taea te tīmata i tētahi wātaka hou.,Espere: todavía se está cargando un showfile. No se puede iniciar una sesión nueva.,Bitte warten — Showfile wird noch geladen. Neue Sitzung nicht möglich.,Подождите — шоу-файл ещё загружается. Новая сессия недоступна.,お待ちください — ショーファイル読込中。新しいセッションは開始できません。,يرجى الانتظار — ملف العرض ما زال يُحمَّل. لا يمكن بدء جلسة جديدة.,प्रतीक्षा करें — शोफ़ाइल लोड हो रही है। नया सत्र नहीं शुरू कर सकते।
Please wait — a showfile is still loading. Cannot undo.,Please wait — a showfile is still loading. Cannot undo.,Taihoa — kei te uta tonu tētahi kōnae whakaaturanga. Kāore e taea te whakakore.,Espere: todavía se está cargando un showfile. No se puede deshacer.,Bitte warten — Showfile wird noch geladen. Rückgängig nicht möglich.,Подождите — шоу-файл ещё загружается. Отмена недоступна.,お待ちください — ショーファイル読込中。元に戻せません。,يرجى الانتظار — ملف العرض ما زال يُحمَّل. لا يمكن التراجع.,प्रतीक्षा करें — शोफ़ाइल लोड हो रही है। पूर्ववत नहीं कर सकते।
Please wait — a showfile is still loading. Cannot {0}.,Please wait — a showfile is still loading. Cannot {0}.,Taihoa — kei te uta tonu tētahi kōnae whakaaturanga. Kāore e taea te {0}.,Espere: todavía se está cargando un showfile. No se puede {0}.,Bitte warten — Showfile wird noch geladen. {0} nicht möglich.,Подождите — шоу-файл ещё загружается. Нельзя: {0}.,お待ちください — ショーファイル読込中。{0} はできません。,يرجى الانتظار — ملف العرض ما زال يُحمَّل. لا يمكن {0}.,प्रतीक्षा करें — शोफ़ाइल लोड हो रही है। {0} नहीं कर सकते।
Port,Port,Port,Port,Port,Port,Port,Port,Port
Pos X,Pos X,Tū X,Pos X,Pos X,Поз. X,位置 X,س X,स्थिति X
Pos Y,Pos Y,Tū Y,Pos Y,Pos Y,Поз. Y,位置 Y,ص Y,स्थिति Y
Pos:,Pos:,Tū:,Pos:,Pos:,Поз.:,位置:,الموضع:,स्थिति:
Position:,Position:,Tūnga:,Posición:,Position:,Положение:,位置:,الموضع:,स्थिति:
Post-Wait,Post-Wait,Tārewa-muri,Post-espera,Nachwartezeit,Пост-пауза,ポストウェイト,انتظار لاحق,पोस्ट-वेट
Post-wait,Post-wait,Tataritanga-muri,Postespera,Nachwartezeit,Пост-пауза,ポストウェイト,انتظار لاحق,पोस्ट-वेट
Post-wait:,Post-wait:,Tārewa-muri:,Post-espera:,Nachwartezeit:,Пост-пауза:,ポストウェイト:,انتظار لاحق:,पोस्ट-वेट:
Post-wait: delay on the next cue after Auto-continue (when this cue's content phase starts) or Auto-follow (when this cue completes). 0 = next starts at that moment.,Post-wait: delay on the next cue after Auto-continue (when this cue's content phase starts) or Auto-follow (when this cue completes). 0 = next starts at that moment.,Tataritanga-muri: roa i te tohu panuku i muri i te Haere-aunoa (ina tīmata te wāhanga ihirangi) te Whai-aunoa rānei (ina oti tēnei tohu). 0 = ka tīmata tonu te panuku.,Postespera: retraso de la siguiente cue tras Auto-continuar (al empezar el contenido) o Auto-seguir (al completar esta). 0 = la siguiente empieza al momento.,Nachwartezeit: Verzögerung des nächsten Cues nach Auto-Continue (wenn die Inhaltsphase dieses Cues startet) oder Auto-Follow (wenn dieser Cue endet). 0 = nächster startet sofort.,Пост-пауза: задержка следующей реплики после автопродолжения (старт содержимого) или автоследования (завершение этой). 0 = следующая стартует сразу.,ポストウェイト: オートコンティニュー（内容開始時）またはオートフォロー（完了時）の次キュー遅延。0 = その瞬間に次が開始。,الانتظار اللاحق: تأخير الإشارة التالية بعد المتابعة التلقائية (عند بدء محتوى هذه) أو التتبع التلقائي (عند اكتمالها). 0 = التالية تبدأ فوراً.,पोस्ट-वेट: ऑटो-कंटिन्यू (सामग्री शुरू) या ऑटो-फ़ॉलो (यह पूरा) के बाद अगले क्यू की देरी। 0 = अगला तुरंत शुरू।
Pre-Wait,Pre-Wait,Tārewa-mua,Pre-espera,Vorwartezeit,Предварительная пауза,プリウェイト,انتظار مسبق,प्री-वेट
Pre-wait,Pre-wait,Tataritanga-mua,Preespera,Vorwartezeit,Предварительная пауза,プリウェイト,انتظار مسبق,प्री-वेट
Pre-wait:,Pre-wait:,Tārewa-mua:,Pre-espera:,Vorwartezeit:,Предварительная пауза:,プリウェイト:,انتظار مسبق:,प्री-वेट:
Preload media without GO (standby).,Preload media without GO (standby).,Preload media without GO (standby).,Preload media without GO (standby).,Preload media without GO (standby).,Preload media without GO (standby).,Preload media without GO (standby).,Preload media without GO (standby).,Preload media without GO (standby).
Press key... (Esc cancels),Press key... (Esc cancels),Pēhia he pātuhi... (ka whakakore a Esc),Pulsa una tecla... (Esc cancela),Taste drücken… (Esc bricht ab),Нажмите клавишу… (Esc отменяет),キーを押す…（Esc でキャンセル）,اضغط مفتاحاً… (Esc يلغي),कुंजी दबाएँ... (Esc रद्द करता है)
Preview,Preview,Arokite,Vista previa,Vorschau,Предпросмотр,プレビュー,معاينة,पूर्वावलोकन
Preview quality,Preview quality,Kounga arokite,Calidad de vista previa,Vorschaqualität,Качество предпросмотра,プレビュー品質,جودة المعاينة,पूर्वावलोकन गुणवत्ता
Private: {0} MB,Private: {0} MB,Tūmataiti: {0} MB,Privada: {0} MB,Privat: {0} MB,Частная: {0} МБ,プライベート: {0} MB,خاص: {0} م.ب,निजी: {0} MB
PROPERTIES,PROPERTIES,ĀHUATANGA,PROPIEDADES,EIGENSCHAFTEN,СВОЙСТВА,プロパティ,الخصائص,गुण
Property fade duration. 0 = snap immediately. Default 1s.,Property fade duration. 0 = snap immediately. Default 1s.,Property fade duration. 0 = snap immediately. Default 1s.,Property fade duration. 0 = snap immediately. Default 1s.,Property fade duration. 0 = snap immediately. Default 1s.,Property fade duration. 0 = snap immediately. Default 1s.,Property fade duration. 0 = snap immediately. Default 1s.,Property fade duration. 0 = snap immediately. Default 1s.,Property fade duration. 0 = snap immediately. Default 1s.
Property:,Property:,Āhuatanga:,Propiedad:,Eigenschaft:,Свойство:,プロパティ:,الخاصية:,गुण:
Push /reply/playhead to the last remote that sent OSC (when selection changes).,Push /reply/playhead to the last remote that sent OSC (when selection changes).,Push /reply/playhead to the last remote that sent OSC (when selection changes).,Push /reply/playhead to the last remote that sent OSC (when selection changes).,Push /reply/playhead to the last remote that sent OSC (when selection changes).,Push /reply/playhead to the last remote that sent OSC (when selection changes).,Push /reply/playhead to the last remote that sent OSC (when selection changes).,Push /reply/playhead to the last remote that sent OSC (when selection changes).,Push /reply/playhead to the last remote that sent OSC (when selection changes).
Push playhead,Push playhead,Push playhead,Push playhead,Push playhead,Push playhead,Push playhead,Push playhead,Push playhead
Quit Cue2,Quit Cue2,Waiho Cue2,Salir de Cue2,Cue2 beenden,Выйти из Cue2,Cue2 を終了,إنهاء Cue2,Cue2 छोड़ें
"Raised-cosine fade-in after start, seek, and resume to suppress silence-to-sample clicks. 0 = off.","Raised-cosine fade-in after start, seek, and resume to suppress silence-to-sample clicks. 0 = off.","Raised-cosine fade-in after start, seek, and resume to suppress silence-to-sample clicks. 0 = off.","Raised-cosine fade-in after start, seek, and resume to suppress silence-to-sample clicks. 0 = off.","Raised-cosine fade-in after start, seek, and resume to suppress silence-to-sample clicks. 0 = off.","Raised-cosine fade-in after start, seek, and resume to suppress silence-to-sample clicks. 0 = off.","Raised-cosine fade-in after start, seek, and resume to suppress silence-to-sample clicks. 0 = off.","Raised-cosine fade-in after start, seek, and resume to suppress silence-to-sample clicks. 0 = off.","Raised-cosine fade-in after start, seek, and resume to suppress silence-to-sample clicks. 0 = off."
Reading showfile…,Reading showfile…,E pānui ana i te kōnae whakaaturanga…,Leyendo el archivo de show…,Showfile wird gelesen…,Чтение шоу-файла…,ショーファイルを読み込み中…,جارٍ قراءة ملف العرض…,शोफ़ाइल पढ़ी जा रही है…
Ready to install.,Ready to install.,Ready to install.,Ready to install.,Ready to install.,Ready to install.,Ready to install.,Ready to install.,Ready to install.
Recheck network connection,Recheck network connection,Recheck network connection,Recheck network connection,Recheck network connection,Recheck network connection,Recheck network connection,Recheck network connection,Recheck network connection
Redo,Redo,Mahi anō,Rehacer,Wiederholen,Повторить,やり直す,إعادة,फिर करें
Refresh,Refresh,Tāmata anō,Actualizar,Aktualisieren,Обновить,更新,تحديث,ताज़ा करें
"Refresh all screens and outputs (restore closed windows, re-check displays)","Refresh all screens and outputs (restore closed windows, re-check displays)","Refresh all screens and outputs (restore closed windows, re-check displays)","Refresh all screens and outputs (restore closed windows, re-check displays)","Refresh all screens and outputs (restore closed windows, re-check displays)","Refresh all screens and outputs (restore closed windows, re-check displays)","Refresh all screens and outputs (restore closed windows, re-check displays)","Refresh all screens and outputs (restore closed windows, re-check displays)","Refresh all screens and outputs (restore closed windows, re-check displays)"
Refresh device list,Refresh device list,Refresh device list,Refresh device list,Refresh device list,Refresh device list,Refresh device list,Refresh device list,Refresh device list
Register .c2 files so they use the Cue2 icon and open in Cue2 when double-clicked.,Register .c2 files so they use the Cue2 icon and open in Cue2 when double-clicked.,Register .c2 files so they use the Cue2 icon and open in Cue2 when double-clicked.,Register .c2 files so they use the Cue2 icon and open in Cue2 when double-clicked.,Register .c2 files so they use the Cue2 icon and open in Cue2 when double-clicked.,Register .c2 files so they use the Cue2 icon and open in Cue2 when double-clicked.,Register .c2 files so they use the Cue2 icon and open in Cue2 when double-clicked.,Register .c2 files so they use the Cue2 icon and open in Cue2 when double-clicked.,Register .c2 files so they use the Cue2 icon and open in Cue2 when double-clicked.
Relative seek.,Relative seek.,Rapu whakatairite.,Búsqueda relativa.,Relatives Suchen.,Относительный переход.,相対シーク。,بحث نسبي.,सापेक्ष सीक।
Release notes,Release notes,Release notes,Release notes,Release notes,Release notes,Release notes,Release notes,Release notes
Release notes appear here after a check.,Release notes appear here after a check.,Release notes appear here after a check.,Release notes appear here after a check.,Release notes appear here after a check.,Release notes appear here after a check.,Release notes appear here after a check.,Release notes appear here after a check.,Release notes appear here after a check.
Reload library folders and entries from disk.,Reload library folders and entries from disk.,Uta anō ngā kōpaki me ngā tāurunga puna mai i te kōpae.,Recargar carpetas y entradas de la biblioteca desde el disco.,Bibliotheksordner und Einträge von der Festplatte neu laden.,Перезагрузить папки и записи библиотеки с диска.,ライブラリのフォルダと項目をディスクから再読込。,إعادة تحميل مجلدات وإدخالات المكتبة من القرص.,डिस्क से लाइब्रेरी फ़ोल्डर और प्रविष्टियाँ फिर लोड करें।
Remove '{0}' from session outputs,Remove '{0}' from session outputs,Tangohia '{0}' i ngā putanga wātū,Quitar '{0}' de las salidas de sesión,„{0}“ aus den Sitzungsausgängen entfernen,Удалить «{0}» из выходов сессии,セッション出力から「{0}」を削除,إزالة «{0}» من مخارج الجلسة,सत्र आउटपुट से '{0}' हटाएँ
Remove '{0}' from this session,Remove '{0}' from this session,Tangohia '{0}' i tēnei wātū,Quitar '{0}' de esta sesión,„{0}“ aus dieser Sitzung entfernen,Удалить «{0}» из этой сессии,このセッションから「{0}」を削除,إزالة «{0}» من هذه الجلسة,इस सत्र से '{0}' हटाएँ
Remove text component from this cue,Remove text component from this cue,Remove text component from this cue,Remove text component from this cue,Remove text component from this cue,Remove text component from this cue,Remove text component from this cue,Remove text component from this cue,Remove text component from this cue
Remove text component from {0} cue(s),Remove text component from {0} cue(s),Tangohia te wae kupu i ngā tohu {0},Quitar el componente de texto de {0} cue(s),Textkomponente von {0} Cue(s) entfernen,Удалить текстовый компонент у {0} реплик,{0} 件のキューからテキストコンポーネントを削除,إزالة مكوّن النص من {0} إشارة,{0} क्यू से टेक्स्ट घटक हटाएँ
Remove the audio component from this cue.,Remove the audio component from this cue.,Tangohia te wae oro i tēnei tohu.,Quitar el componente de audio de esta cue.,Audiokomponente von diesem Cue entfernen.,Удалить аудиокомпонент с этой реплики.,このキューからオーディオコンポーネントを削除。,إزالة مكوّن الصوت من هذه الإشارة.,इस क्यू से ऑडियो घटक हटाएँ।
Remove the video component from this cue.,Remove the video component from this cue.,Tangohia te wae ataata i tēnei tohu.,Quitar el componente de vídeo de esta cue.,Videokomponente von diesem Cue entfernen.,Удалить видеокомпонент с этой реплики.,このキューからビデオコンポーネントを削除。,إزالة مكوّن الفيديو من هذه الإشارة.,इस क्यू से वीडियो घटक हटाएँ।
Remove this control,Remove this control,Tangohia tēnei whakahaere,Quitar este control,Diese Steuerung entfernen,Удалить это управление,このコントロールを削除,إزالة عنصر التحكم هذا,यह नियंत्रण हटाएँ
Rename,Rename,Ingoa anō,Renombrar,Umbenennen,Переименовать,名前を変更,إعادة التسمية,नाम बदलें
Rename Cue,Rename Cue,Whakaingoa anō i te tohu,Renombrar cue,Cue umbenennen,Переименовать реплику,キュー名を変更,إعادة تسمية الإشارة,क्यू का नाम बदलें
Rename Folder,Rename Folder,Whakaingoa anō i te kōpaki,Renombrar carpeta,Ordner umbenennen,Переименовать папку,フォルダ名を変更,إعادة تسمية المجلد,फ़ोल्डर का नाम बदलें
Rename the selected entry or folder.,Rename the selected entry or folder.,"Whakaingoatia anō te tāurunga, te kōpaki rānei kua tīpakohia.",Renombrar la entrada o carpeta seleccionada.,Ausgewählten Eintrag oder Ordner umbenennen.,Переименовать выбранную запись или папку.,選択した項目またはフォルダの名前を変更。,إعادة تسمية الإدخال أو المجلد المحدد.,चयनित प्रविष्टि या फ़ोल्डर का नाम बदलें।
Reorder at end (top level),Reorder at end (top level),Whakarārangi ki te mutunga (taumata runga),Reordenar al final (nivel superior),Am Ende einordnen (oberste Ebene),Переставить в конец (верхний уровень),末尾に並べ替え（最上位）,إعادة الترتيب في النهاية (المستوى الأعلى),अंत में क्रम (शीर्ष स्तर)
Replace with,Replace with,Whakakapia ki,Reemplazar con,Ersetzen durch,Заменить на,置換先,استبدال بـ,इससे बदलें
Reply,Reply,Reply,Reply,Reply,Reply,Reply,Reply,Reply
Reply /pong.,Reply /pong.,Reply /pong.,Reply /pong.,Reply /pong.,Reply /pong.,Reply /pong.,Reply /pong.,Reply /pong.
Reply active cue ids.,Reply active cue ids.,Reply active cue ids.,Reply active cue ids.,Reply active cue ids.,Reply active cue ids.,Reply active cue ids.,Reply active cue ids.,Reply active cue ids.
Reply cue status.,Reply cue status.,Reply cue status.,Reply cue status.,Reply cue status.,Reply cue status.,Reply cue status.,Reply cue status.,Reply cue status.
Reply playhead id/num/name.,Reply playhead id/num/name.,Reply playhead id/num/name.,Reply playhead id/num/name.,Reply playhead id/num/name.,Reply playhead id/num/name.,Reply playhead id/num/name.,Reply playhead id/num/name.,Reply playhead id/num/name.
"Reply to the sender of /ping, /playhead, /active, /cue/status (UDP origin address:port).","Reply to the sender of /ping, /playhead, /active, /cue/status (UDP origin address:port).","Reply to the sender of /ping, /playhead, /active, /cue/status (UDP origin address:port).","Reply to the sender of /ping, /playhead, /active, /cue/status (UDP origin address:port).","Reply to the sender of /ping, /playhead, /active, /cue/status (UDP origin address:port).","Reply to the sender of /ping, /playhead, /active, /cue/status (UDP origin address:port).","Reply to the sender of /ping, /playhead, /active, /cue/status (UDP origin address:port).","Reply to the sender of /ping, /playhead, /active, /cue/status (UDP origin address:port).","Reply to the sender of /ping, /playhead, /active, /cue/status (UDP origin address:port)."
Reset,Reset,Tautuhi anō,Restablecer,Zurücksetzen,Сбросить,リセット,إعادة الضبط,रीसेट
Reset all Cue2 preferences stored for this user. Show files are not deleted.,Reset all Cue2 preferences stored for this user. Show files are not deleted.,Reset all Cue2 preferences stored for this user. Show files are not deleted.,Reset all Cue2 preferences stored for this user. Show files are not deleted.,Reset all Cue2 preferences stored for this user. Show files are not deleted.,Reset all Cue2 preferences stored for this user. Show files are not deleted.,Reset all Cue2 preferences stored for this user. Show files are not deleted.,Reset all Cue2 preferences stored for this user. Show files are not deleted.,Reset all Cue2 preferences stored for this user. Show files are not deleted.
"Reset all Cue2 preferences stored for this user?

This will restore defaults for:
• Language, UI scale, startup, autosave, backup, undo, and log session settings
• Keyboard shortcuts (Input Map)
• Recent show files list
• Remembered window sizes and positions
• Shell column widths

Show files on disk are not deleted.
This cannot be undone.","Reset all Cue2 preferences stored for this user?

This will restore defaults for:
• Language, UI scale, startup, autosave, backup, undo, and log session settings
• Keyboard shortcuts (Input Map)
• Recent show files list
• Remembered window sizes and positions
• Shell column widths

Show files on disk are not deleted.
This cannot be undone.","Reset all Cue2 preferences stored for this user?

This will restore defaults for:
• Language, UI scale, startup, autosave, backup, undo, and log session settings
• Keyboard shortcuts (Input Map)
• Recent show files list
• Remembered window sizes and positions
• Shell column widths

Show files on disk are not deleted.
This cannot be undone.","Reset all Cue2 preferences stored for this user?

This will restore defaults for:
• Language, UI scale, startup, autosave, backup, undo, and log session settings
• Keyboard shortcuts (Input Map)
• Recent show files list
• Remembered window sizes and positions
• Shell column widths

Show files on disk are not deleted.
This cannot be undone.","Reset all Cue2 preferences stored for this user?

This will restore defaults for:
• Language, UI scale, startup, autosave, backup, undo, and log session settings
• Keyboard shortcuts (Input Map)
• Recent show files list
• Remembered window sizes and positions
• Shell column widths

Show files on disk are not deleted.
This cannot be undone.","Reset all Cue2 preferences stored for this user?

This will restore defaults for:
• Language, UI scale, startup, autosave, backup, undo, and log session settings
• Keyboard shortcuts (Input Map)
• Recent show files list
• Remembered window sizes and positions
• Shell column widths

Show files on disk are not deleted.
This cannot be undone.","Reset all Cue2 preferences stored for this user?

This will restore defaults for:
• Language, UI scale, startup, autosave, backup, undo, and log session settings
• Keyboard shortcuts (Input Map)
• Recent show files list
• Remembered window sizes and positions
• Shell column widths

Show files on disk are not deleted.
This cannot be undone.","Reset all Cue2 preferences stored for this user?

This will restore defaults for:
• Language, UI scale, startup, autosave, backup, undo, and log session settings
• Keyboard shortcuts (Input Map)
• Recent show files list
• Remembered window sizes and positions
• Shell column widths

Show files on disk are not deleted.
This cannot be undone.","Reset all Cue2 preferences stored for this user?

This will restore defaults for:
• Language, UI scale, startup, autosave, backup, undo, and log session settings
• Keyboard shortcuts (Input Map)
• Recent show files list
• Remembered window sizes and positions
• Shell column widths

Show files on disk are not deleted.
This cannot be undone."
"Reset all stored user preferences (language, startup, autosave, shortcuts, recent files, window layout).","Reset all stored user preferences (language, startup, autosave, shortcuts, recent files, window layout).","Reset all stored user preferences (language, startup, autosave, shortcuts, recent files, window layout).","Reset all stored user preferences (language, startup, autosave, shortcuts, recent files, window layout).","Reset all stored user preferences (language, startup, autosave, shortcuts, recent files, window layout).","Reset all stored user preferences (language, startup, autosave, shortcuts, recent files, window layout).","Reset all stored user preferences (language, startup, autosave, shortcuts, recent files, window layout).","Reset all stored user preferences (language, startup, autosave, shortcuts, recent files, window layout).","Reset all stored user preferences (language, startup, autosave, shortcuts, recent files, window layout)."
Reset fade time to 1s,Reset fade time to 1s,Reset fade time to 1s,Reset fade time to 1s,Reset fade time to 1s,Reset fade time to 1s,Reset fade time to 1s,Reset fade time to 1s,Reset fade time to 1s
Reset fade to default,Reset fade to default,Tautuhi anō te memeha ki te taunoa,Restablecer fundido,Überblendung auf Standard,Сбросить фейд к умолчанию,フェードを既定に戻す,إعادة التدرج إلى الافتراضي,फ़ेड को डिफ़ॉल्ट पर रीसेट
Reset fade-in to 0,Reset fade-in to 0,Reset fade-in to 0,Reset fade-in to 0,Reset fade-in to 0,Reset fade-in to 0,Reset fade-in to 0,Reset fade-in to 0,Reset fade-in to 0
Reset to default,Reset to default,Tautuhi anō ki te taunoa,Restablecer predeterminado,Auf Standard zurücksetzen,Сбросить к умолчанию,既定に戻す,إعادة إلى الافتراضي,डिफ़ॉल्ट पर रीसेट
Reset to default (no clock),Reset to default (no clock),Tautuhi anō (kāore he karaka),Restablecer (sin reloj),Auf Standard (keine Uhr),Сбросить (без часов),既定に戻す（時計なし）,إعادة إلى الافتراضي (بدون ساعة),डिफ़ॉल्ट (कोई घड़ी नहीं)
"Reset to default (no clock, every day)","Reset to default (no clock, every day)","Reset to default (no clock, every day)","Reset to default (no clock, every day)","Reset to default (no clock, every day)","Reset to default (no clock, every day)","Reset to default (no clock, every day)","Reset to default (no clock, every day)","Reset to default (no clock, every day)"
Reset to default (no hotkey),Reset to default (no hotkey),Tautuhi anō (kāore he pātuhi-wera),Restablecer (sin atajo),Auf Standard (kein Tastenkürzel),Сбросить (без горячей клавиши),既定に戻す（ホットキーなし）,إعادة إلى الافتراضي (بدون اختصار),डिफ़ॉल्ट (कोई हॉटकी नहीं)
Reset to default (no MIDI trigger),Reset to default (no MIDI trigger),Tautuhi anō (kāore he pūtake MIDI),Restablecer (sin disparador MIDI),Auf Standard (kein MIDI-Auslöser),Сбросить (без MIDI-триггера),既定に戻す（MIDI トリガーなし）,إعادة إلى الافتراضي (بدون محفّز MIDI),डिफ़ॉल्ट (कोई MIDI ट्रिगर नहीं)
Reset to default (no MIDI),Reset to default (no MIDI),Tautuhi anō (kāore he MIDI),Restablecer (sin MIDI),Auf Standard (kein MIDI),Сбросить (без MIDI),既定に戻す（MIDI なし）,إعادة إلى الافتراضي (بدون MIDI),डिफ़ॉल्ट (कोई MIDI नहीं)
Reset to default (no OSC trigger),Reset to default (no OSC trigger),Tautuhi anō (kāore he pūtake OSC),Restablecer (sin disparador OSC),Auf Standard (kein OSC-Auslöser),Сбросить (без OSC-триггера),既定に戻す（OSC トリガーなし）,إعادة إلى الافتراضي (بدون محفّز OSC),डिफ़ॉल्ट (कोई OSC ट्रिगर नहीं)
